areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newVirusTestsByPublishDate
E12000001,North East,region,16/10/2022,0,0,1687
E12000001,North East,region,15/10/2022,0,0,2016
E12000001,North East,region,14/10/2022,0,0,2710
E12000001,North East,region,13/10/2022,2849,44,2985
E12000001,North East,region,12/10/2022,0,0,2573
E12000001,North East,region,11/10/2022,0,0,3176
E12000001,North East,region,10/10/2022,0,0,5898
E12000001,North East,region,09/10/2022,0,0,2575
E12000001,North East,region,08/10/2022,0,0,2533
E12000001,North East,region,07/10/2022,0,0,3375
E12000001,North East,region,06/10/2022,2854,25,2711
E12000001,North East,region,05/10/2022,0,0,3346
E12000001,North East,region,04/10/2022,0,0,2882
E12000001,North East,region,03/10/2022,0,0,8027
E12000001,North East,region,02/10/2022,0,0,1810
E12000001,North East,region,01/10/2022,0,0,2265
E12000001,North East,region,30/09/2022,0,0,2604
E12000001,North East,region,29/09/2022,2510,17,3070
E12000001,North East,region,28/09/2022,0,0,3228
E12000001,North East,region,27/09/2022,0,0,2631
E12000001,North East,region,26/09/2022,0,0,7623
E12000001,North East,region,25/09/2022,0,0,1665
E12000001,North East,region,24/09/2022,0,0,2046
E12000001,North East,region,23/09/2022,0,0,2390
E12000001,North East,region,22/09/2022,1871,25,2585
E12000001,North East,region,21/09/2022,0,0,2786
E12000001,North East,region,20/09/2022,0,0,2295
E12000001,North East,region,19/09/2022,0,0,6698
E12000001,North East,region,18/09/2022,0,0,1442
E12000001,North East,region,17/09/2022,0,0,1587
E12000001,North East,region,16/09/2022,0,0,1905
E12000001,North East,region,15/09/2022,1531,17,2300
E12000001,North East,region,14/09/2022,0,0,2410
E12000001,North East,region,13/09/2022,0,0,1993
E12000001,North East,region,12/09/2022,0,0,8867
E12000001,North East,region,11/09/2022,0,0,1405
E12000001,North East,region,10/09/2022,0,0,1786
E12000001,North East,region,09/09/2022,0,0,1801
E12000001,North East,region,08/09/2022,1474,40,2129
E12000001,North East,region,07/09/2022,0,0,2297
E12000001,North East,region,06/09/2022,0,0,2223
E12000001,North East,region,05/09/2022,0,0,12226
E12000001,North East,region,04/09/2022,0,0,1821
E12000001,North East,region,03/09/2022,0,0,2201
E12000001,North East,region,02/09/2022,0,0,2359
E12000001,North East,region,01/09/2022,0,0,3063
E12000001,North East,region,31/08/2022,1314,30,3369
E12000001,North East,region,30/08/2022,0,0,4646
E12000001,North East,region,29/08/2022,0,0,12324
E12000001,North East,region,28/08/2022,0,0,2312
E12000001,North East,region,27/08/2022,0,0,2862
E12000001,North East,region,26/08/2022,0,0,3739
E12000001,North East,region,25/08/2022,0,0,5119
E12000001,North East,region,24/08/2022,1324,28,4511
E12000001,North East,region,23/08/2022,0,0,4424
E12000001,North East,region,22/08/2022,0,0,14995
E12000001,North East,region,21/08/2022,0,0,2956
E12000001,North East,region,20/08/2022,0,0,3030
E12000001,North East,region,19/08/2022,0,0,4543
E12000001,North East,region,18/08/2022,0,0,5261
E12000001,North East,region,17/08/2022,1741,44,4416
E12000001,North East,region,16/08/2022,0,0,5268
E12000001,North East,region,15/08/2022,0,0,16400
E12000001,North East,region,14/08/2022,0,0,3009
E12000001,North East,region,13/08/2022,0,0,3130
E12000001,North East,region,12/08/2022,0,0,4840
E12000001,North East,region,11/08/2022,0,0,5719
E12000001,North East,region,10/08/2022,2190,56,5456
E12000001,North East,region,09/08/2022,0,0,5800
E12000001,North East,region,08/08/2022,0,0,18200
E12000001,North East,region,07/08/2022,0,0,3845
E12000001,North East,region,06/08/2022,0,0,3779
E12000001,North East,region,05/08/2022,0,0,5658
E12000001,North East,region,04/08/2022,0,0,6524
E12000001,North East,region,03/08/2022,2760,53,6031
E12000001,North East,region,02/08/2022,0,0,6715
E12000001,North East,region,01/08/2022,0,0,20004
E12000001,North East,region,31/07/2022,0,0,3985
E12000001,North East,region,30/07/2022,0,0,4167
E12000001,North East,region,29/07/2022,0,0,6838
E12000001,North East,region,28/07/2022,0,0,7627
E12000001,North East,region,27/07/2022,3814,61,7117
E12000001,North East,region,26/07/2022,0,0,6948
E12000001,North East,region,25/07/2022,0,0,20833
E12000001,North East,region,24/07/2022,0,0,4797
E12000001,North East,region,23/07/2022,0,0,5448
E12000001,North East,region,22/07/2022,0,0,8021
E12000001,North East,region,21/07/2022,0,0,8317
E12000001,North East,region,20/07/2022,5569,60,9238
E12000001,North East,region,19/07/2022,0,0,6973
E12000001,North East,region,18/07/2022,0,0,23056
E12000001,North East,region,17/07/2022,0,0,5699
E12000001,North East,region,16/07/2022,0,0,6855
E12000001,North East,region,15/07/2022,0,0,8219
E12000001,North East,region,14/07/2022,0,0,10712
E12000001,North East,region,13/07/2022,7079,31,8022
E12000001,North East,region,12/07/2022,0,0,9452
E12000001,North East,region,11/07/2022,0,0,34060
E12000001,North East,region,10/07/2022,0,0,6111
E12000001,North East,region,09/07/2022,0,0,5913
E12000001,North East,region,08/07/2022,0,0,8288
E12000001,North East,region,07/07/2022,0,0,8819
E12000001,North East,region,06/07/2022,5005,18,9272
E12000001,North East,region,05/07/2022,0,0,9643
E12000001,North East,region,04/07/2022,0,0,35632
E12000001,North East,region,03/07/2022,0,0,6136
E12000001,North East,region,02/07/2022,0,0,5416
E12000001,North East,region,01/07/2022,810,4,8420
E12000001,North East,region,30/06/2022,982,5,8801
E12000001,North East,region,29/06/2022,973,4,8064
E12000001,North East,region,28/06/2022,969,7,9276
E12000001,North East,region,27/06/2022,2395,5,35432
E12000001,North East,region,26/06/2022,0,0,6039
E12000001,North East,region,25/06/2022,0,0,5196
E12000001,North East,region,24/06/2022,794,4,7517
E12000001,North East,region,23/06/2022,825,7,8372
E12000001,North East,region,22/06/2022,953,8,7865
E12000001,North East,region,21/06/2022,865,9,8425
E12000001,North East,region,20/06/2022,1792,4,42759
E12000001,North East,region,19/06/2022,0,0,5684
E12000001,North East,region,18/06/2022,0,0,4822
E12000001,North East,region,17/06/2022,637,4,7142
E12000001,North East,region,16/06/2022,619,2,7267
E12000001,North East,region,15/06/2022,720,3,7010
E12000001,North East,region,14/06/2022,652,6,7452
E12000001,North East,region,13/06/2022,1441,7,33756
E12000001,North East,region,12/06/2022,0,0,4840
E12000001,North East,region,11/06/2022,0,0,4470
E12000001,North East,region,10/06/2022,489,7,6681
E12000001,North East,region,09/06/2022,507,6,7460
E12000001,North East,region,08/06/2022,472,4,6878
E12000001,North East,region,07/06/2022,530,9,6664
E12000001,North East,region,06/06/2022,1375,0,32054
E12000001,North East,region,05/06/2022,0,0,4437
E12000001,North East,region,04/06/2022,0,0,3664
E12000001,North East,region,03/06/2022,0,0,4693
E12000001,North East,region,02/06/2022,0,0,4858
E12000001,North East,region,01/06/2022,227,4,5738
E12000001,North East,region,31/05/2022,279,9,6138
E12000001,North East,region,30/05/2022,665,3,33934
E12000001,North East,region,29/05/2022,0,0,4490
E12000001,North East,region,28/05/2022,0,0,4170
E12000001,North East,region,27/05/2022,223,3,6503
E12000001,North East,region,26/05/2022,268,4,7483
E12000001,North East,region,25/05/2022,293,6,6972
E12000001,North East,region,24/05/2022,346,10,39135
E12000001,North East,region,23/05/2022,760,4,9745
E12000001,North East,region,22/05/2022,0,0,5100
E12000001,North East,region,21/05/2022,0,0,4659
E12000001,North East,region,20/05/2022,348,5,7102
E12000001,North East,region,19/05/2022,320,7,7882
E12000001,North East,region,18/05/2022,393,8,31882
E12000001,North East,region,17/05/2022,433,12,8464
E12000001,North East,region,16/05/2022,923,5,10747
E12000001,North East,region,15/05/2022,0,0,5390
E12000001,North East,region,14/05/2022,0,0,5198
E12000001,North East,region,13/05/2022,369,9,18362
E12000001,North East,region,12/05/2022,397,4,9133
E12000001,North East,region,11/05/2022,463,12,9841
E12000001,North East,region,10/05/2022,510,20,29236
E12000001,North East,region,09/05/2022,1149,8,11874
E12000001,North East,region,08/05/2022,0,0,6302
E12000001,North East,region,07/05/2022,0,0,6194
E12000001,North East,region,06/05/2022,556,10,12548
E12000001,North East,region,05/05/2022,610,26,11003
E12000001,North East,region,04/05/2022,838,8,10900
E12000001,North East,region,03/05/2022,1680,21,41914
E12000001,North East,region,02/05/2022,0,0,9403
E12000001,North East,region,01/05/2022,0,0,6613
E12000001,North East,region,30/04/2022,0,0,7518
E12000001,North East,region,29/04/2022,557,15,10286
E12000001,North East,region,28/04/2022,584,9,22105
E12000001,North East,region,27/04/2022,1579,11,12194
E12000001,North East,region,26/04/2022,0,19,32826
E12000001,North East,region,25/04/2022,2190,11,15120
E12000001,North East,region,24/04/2022,0,0,9077
E12000001,North East,region,23/04/2022,0,0,9123
E12000001,North East,region,22/04/2022,856,10,12245
E12000001,North East,region,21/04/2022,1045,27,14093
E12000001,North East,region,20/04/2022,1156,35,14517
E12000001,North East,region,19/04/2022,5099,14,14813
E12000001,North East,region,18/04/2022,0,0,26444
E12000001,North East,region,17/04/2022,0,0,9528
E12000001,North East,region,16/04/2022,0,0,9934
E12000001,North East,region,15/04/2022,0,0,11887
E12000001,North East,region,14/04/2022,1468,27,23267
E12000001,North East,region,13/04/2022,1521,30,16827
E12000001,North East,region,12/04/2022,1771,4,17196
E12000001,North East,region,11/04/2022,3700,7,34031
E12000001,North East,region,10/04/2022,0,0,12507
E12000001,North East,region,09/04/2022,0,0,12909
E12000001,North East,region,08/04/2022,1807,10,17598
E12000001,North East,region,07/04/2022,2030,22,25800
E12000001,North East,region,06/04/2022,2297,122,21916
E12000001,North East,region,05/04/2022,2224,27,22225
E12000001,North East,region,04/04/2022,5818,5,40677
E12000001,North East,region,03/04/2022,0,0,17962
E12000001,North East,region,02/04/2022,0,0,17550
E12000001,North East,region,01/04/2022,3001,7,23376
E12000001,North East,region,31/03/2022,3022,6,33042
E12000001,North East,region,30/03/2022,3852,7,28960
