areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,20/02/2022,889
E12000001,North East,region,19/02/2022,1091
E12000001,North East,region,18/02/2022,1330
E12000001,North East,region,17/02/2022,1496
E12000001,North East,region,16/02/2022,1531
E12000001,North East,region,15/02/2022,1467
E12000001,North East,region,14/02/2022,1282
E12000001,North East,region,13/02/2022,1164
E12000001,North East,region,12/02/2022,1417
E12000001,North East,region,11/02/2022,1653
E12000001,North East,region,10/02/2022,2055
E12000001,North East,region,09/02/2022,2141
E12000001,North East,region,08/02/2022,2211
E12000001,North East,region,07/02/2022,1828
E12000001,North East,region,06/02/2022,1793
E12000001,North East,region,05/02/2022,2246
E12000001,North East,region,04/02/2022,2806
E12000001,North East,region,03/02/2022,3311
E12000001,North East,region,02/02/2022,3582
E12000001,North East,region,01/02/2022,4716
E12000001,North East,region,31/01/2022,48651
E12000001,North East,region,30/01/2022,2203
E12000001,North East,region,29/01/2022,2818
E12000001,North East,region,28/01/2022,3424
E12000001,North East,region,27/01/2022,3860
E12000001,North East,region,26/01/2022,4415
E12000001,North East,region,25/01/2022,4234
E12000001,North East,region,24/01/2022,3726
E12000001,North East,region,23/01/2022,3545
E12000001,North East,region,22/01/2022,3814
E12000001,North East,region,21/01/2022,4847
E12000001,North East,region,20/01/2022,5237
E12000001,North East,region,19/01/2022,5903
E12000001,North East,region,18/01/2022,5809
E12000001,North East,region,17/01/2022,4397
E12000001,North East,region,16/01/2022,4253
E12000001,North East,region,15/01/2022,4874
E12000001,North East,region,14/01/2022,5907
E12000001,North East,region,13/01/2022,7450
E12000001,North East,region,12/01/2022,9987
E12000001,North East,region,11/01/2022,7634
E12000001,North East,region,10/01/2022,8200
E12000001,North East,region,09/01/2022,10167
E12000001,North East,region,08/01/2022,7207
E12000001,North East,region,07/01/2022,10162
E12000001,North East,region,06/01/2022,9997
E12000001,North East,region,05/01/2022,9909
E12000001,North East,region,04/01/2022,10252
E12000001,North East,region,03/01/2022,7311
E12000001,North East,region,02/01/2022,7474
E12000001,North East,region,01/01/2022,10935
E12000001,North East,region,31/12/2021,6991
E12000001,North East,region,30/12/2021,6250
E12000001,North East,region,29/12/2021,5247
E12000001,North East,region,28/12/2021,4339
E12000001,North East,region,27/12/2021,3190
E12000001,North East,region,26/12/2021,3505
E12000001,North East,region,25/12/2021,3356
E12000001,North East,region,24/12/2021,2942
E12000001,North East,region,23/12/2021,2795
E12000001,North East,region,22/12/2021,2276
E12000001,North East,region,21/12/2021,2322
E12000001,North East,region,20/12/2021,1702
E12000001,North East,region,19/12/2021,1502
E12000001,North East,region,18/12/2021,1503
E12000001,North East,region,17/12/2021,2513
E12000001,North East,region,16/12/2021,1754
E12000001,North East,region,15/12/2021,1760
E12000001,North East,region,14/12/2021,1391
E12000001,North East,region,13/12/2021,1358
E12000001,North East,region,12/12/2021,1212
E12000001,North East,region,11/12/2021,1688
E12000001,North East,region,10/12/2021,2042
E12000001,North East,region,09/12/2021,1496
E12000001,North East,region,08/12/2021,1440
E12000001,North East,region,07/12/2021,1413
E12000001,North East,region,06/12/2021,1038
E12000001,North East,region,05/12/2021,1437
E12000001,North East,region,04/12/2021,1489
E12000001,North East,region,03/12/2021,1691
E12000001,North East,region,02/12/2021,1038
E12000001,North East,region,01/12/2021,1886
E12000001,North East,region,30/11/2021,1610
E12000001,North East,region,29/11/2021,1358
E12000001,North East,region,28/11/2021,1251
E12000001,North East,region,27/11/2021,1209
E12000001,North East,region,26/11/2021,1663
E12000001,North East,region,25/11/2021,1112
E12000001,North East,region,24/11/2021,1720
E12000001,North East,region,23/11/2021,2146
E12000001,North East,region,22/11/2021,1635
E12000001,North East,region,21/11/2021,1255
E12000001,North East,region,20/11/2021,1502
E12000001,North East,region,19/11/2021,1556
E12000001,North East,region,18/11/2021,1554
E12000001,North East,region,17/11/2021,1501
E12000001,North East,region,16/11/2021,1131
E12000001,North East,region,15/11/2021,1385
E12000001,North East,region,14/11/2021,1504
E12000001,North East,region,13/11/2021,1481
E12000001,North East,region,12/11/2021,1540
E12000001,North East,region,11/11/2021,1558
E12000001,North East,region,10/11/2021,1586
E12000001,North East,region,09/11/2021,1566
E12000001,North East,region,08/11/2021,1099
E12000001,North East,region,07/11/2021,1222
E12000001,North East,region,06/11/2021,1323
E12000001,North East,region,05/11/2021,1672
E12000001,North East,region,04/11/2021,1531
E12000001,North East,region,03/11/2021,1616
E12000001,North East,region,02/11/2021,1759
E12000001,North East,region,01/11/2021,1819
E12000001,North East,region,31/10/2021,1619
E12000001,North East,region,30/10/2021,1923
E12000001,North East,region,29/10/2021,2071
E12000001,North East,region,28/10/2021,1884
E12000001,North East,region,27/10/2021,2075
E12000001,North East,region,26/10/2021,1850
E12000001,North East,region,25/10/2021,1430
E12000001,North East,region,24/10/2021,1610
E12000001,North East,region,23/10/2021,2353
E12000001,North East,region,22/10/2021,2037
E12000001,North East,region,21/10/2021,2256
E12000001,North East,region,20/10/2021,1818
E12000001,North East,region,19/10/2021,2014
E12000001,North East,region,18/10/2021,1668
E12000001,North East,region,17/10/2021,1562
E12000001,North East,region,16/10/2021,1720
E12000001,North East,region,15/10/2021,1756
E12000001,North East,region,14/10/2021,2166
E12000001,North East,region,13/10/2021,1745
E12000001,North East,region,12/10/2021,1914
E12000001,North East,region,11/10/2021,1304
E12000001,North East,region,10/10/2021,1555
E12000001,North East,region,09/10/2021,1380
E12000001,North East,region,08/10/2021,1551
E12000001,North East,region,07/10/2021,1718
E12000001,North East,region,06/10/2021,1440
E12000001,North East,region,05/10/2021,1401
E12000001,North East,region,04/10/2021,1272
E12000001,North East,region,03/10/2021,1081
E12000001,North East,region,02/10/2021,1301
E12000001,North East,region,01/10/2021,1122
E12000001,North East,region,30/09/2021,1217
E12000001,North East,region,29/09/2021,1361
E12000001,North East,region,28/09/2021,1727
E12000001,North East,region,27/09/2021,1315
E12000001,North East,region,26/09/2021,1222
E12000001,North East,region,25/09/2021,1121
E12000001,North East,region,24/09/2021,1432
E12000001,North East,region,23/09/2021,1472
E12000001,North East,region,22/09/2021,1546
E12000001,North East,region,21/09/2021,1230
E12000001,North East,region,20/09/2021,1432
E12000001,North East,region,19/09/2021,1043
E12000001,North East,region,18/09/2021,1274
E12000001,North East,region,17/09/2021,1313
E12000001,North East,region,16/09/2021,1243
E12000001,North East,region,15/09/2021,1247
E12000001,North East,region,14/09/2021,1293
E12000001,North East,region,13/09/2021,1073
E12000001,North East,region,12/09/2021,1120
E12000001,North East,region,11/09/2021,1594
E12000001,North East,region,10/09/2021,1826
E12000001,North East,region,09/09/2021,1568
E12000001,North East,region,08/09/2021,1539
E12000001,North East,region,07/09/2021,1734
E12000001,North East,region,06/09/2021,1628
E12000001,North East,region,05/09/2021,1263
E12000001,North East,region,04/09/2021,1598
E12000001,North East,region,03/09/2021,1332
E12000001,North East,region,02/09/2021,1726
E12000001,North East,region,01/09/2021,1277
E12000001,North East,region,31/08/2021,1023
E12000001,North East,region,30/08/2021,1066
E12000001,North East,region,29/08/2021,893
E12000001,North East,region,28/08/2021,1453
E12000001,North East,region,27/08/2021,1301
E12000001,North East,region,26/08/2021,1450
E12000001,North East,region,25/08/2021,1403
E12000001,North East,region,24/08/2021,1057
E12000001,North East,region,23/08/2021,1235
E12000001,North East,region,22/08/2021,1192
E12000001,North East,region,21/08/2021,1191
E12000001,North East,region,20/08/2021,1048
E12000001,North East,region,19/08/2021,1260
E12000001,North East,region,18/08/2021,1178
E12000001,North East,region,17/08/2021,1081
E12000001,North East,region,16/08/2021,989
E12000001,North East,region,15/08/2021,820
E12000001,North East,region,14/08/2021,1225
E12000001,North East,region,13/08/2021,1125
E12000001,North East,region,12/08/2021,1107
E12000001,North East,region,11/08/2021,1134
E12000001,North East,region,10/08/2021,1042
E12000001,North East,region,09/08/2021,905
E12000001,North East,region,08/08/2021,957
E12000001,North East,region,07/08/2021,1247
E12000001,North East,region,06/08/2021,1397
E12000001,North East,region,05/08/2021,1151
E12000001,North East,region,04/08/2021,1294
E12000001,North East,region,03/08/2021,829
E12000001,North East,region,02/08/2021,909
E12000001,North East,region,01/08/2021,1035
E12000001,North East,region,31/07/2021,1281
E12000001,North East,region,30/07/2021,1470
E12000001,North East,region,29/07/2021,1498
E12000001,North East,region,28/07/2021,1430
E12000001,North East,region,27/07/2021,1265
E12000001,North East,region,26/07/2021,1443
E12000001,North East,region,25/07/2021,1522
E12000001,North East,region,24/07/2021,1830
E12000001,North East,region,23/07/2021,2112
E12000001,North East,region,22/07/2021,2531
E12000001,North East,region,21/07/2021,2837
