areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate
E12000001,North East,region,05/11/2022,110,8,78,91
E12000001,North East,region,04/11/2022,126,5,28,28
E12000001,North East,region,03/11/2022,146,9,38,26
E12000001,North East,region,02/11/2022,219,8,35,29
E12000001,North East,region,01/11/2022,211,9,29,52
E12000001,North East,region,31/10/2022,223,4,11,17
E12000001,North East,region,30/10/2022,183,9,45,96
E12000001,North East,region,29/10/2022,128,9,98,135
E12000001,North East,region,28/10/2022,210,5,37,43
E12000001,North East,region,27/10/2022,192,7,41,42
E12000001,North East,region,26/10/2022,278,10,71,45
E12000001,North East,region,25/10/2022,275,3,51,74
E12000001,North East,region,24/10/2022,320,9,35,54
E12000001,North East,region,23/10/2022,269,9,25,35
E12000001,North East,region,22/10/2022,213,10,54,84
E12000001,North East,region,21/10/2022,294,12,30,43
E12000001,North East,region,20/10/2022,278,4,43,39
E12000001,North East,region,19/10/2022,327,12,33,38
E12000001,North East,region,18/10/2022,402,6,30,38
E12000001,North East,region,17/10/2022,456,13,30,28
E12000001,North East,region,16/10/2022,335,4,19,41
E12000001,North East,region,15/10/2022,260,14,45,82
E12000001,North East,region,14/10/2022,306,11,46,64
E12000001,North East,region,13/10/2022,357,7,38,47
E12000001,North East,region,12/10/2022,334,7,39,60
E12000001,North East,region,11/10/2022,406,6,38,74
E12000001,North East,region,10/10/2022,465,7,22,32
E12000001,North East,region,09/10/2022,407,8,20,45
E12000001,North East,region,08/10/2022,318,7,18,62
E12000001,North East,region,07/10/2022,397,8,28,49
E12000001,North East,region,06/10/2022,441,8,35,32
E12000001,North East,region,05/10/2022,457,8,19,52
E12000001,North East,region,04/10/2022,449,5,23,32
E12000001,North East,region,03/10/2022,480,5,23,37
E12000001,North East,region,02/10/2022,392,3,22,63
E12000001,North East,region,01/10/2022,307,5,21,89
E12000001,North East,region,30/09/2022,368,9,20,45
E12000001,North East,region,29/09/2022,404,5,30,35
E12000001,North East,region,28/09/2022,421,5,29,56
E12000001,North East,region,27/09/2022,451,3,34,39
E12000001,North East,region,26/09/2022,440,6,25,29
E12000001,North East,region,25/09/2022,335,0,22,62
E12000001,North East,region,24/09/2022,276,3,40,86
E12000001,North East,region,23/09/2022,316,3,25,50
E12000001,North East,region,22/09/2022,377,3,25,25
E12000001,North East,region,21/09/2022,347,1,16,34
E12000001,North East,region,20/09/2022,419,7,11,36
E12000001,North East,region,19/09/2022,298,2,3,12
E12000001,North East,region,18/09/2022,203,4,10,50
E12000001,North East,region,17/09/2022,153,1,34,75
E12000001,North East,region,16/09/2022,206,3,17,41
E12000001,North East,region,15/09/2022,253,2,21,37
E12000001,North East,region,14/09/2022,299,4,25,55
E12000001,North East,region,13/09/2022,262,2,14,36
E12000001,North East,region,12/09/2022,277,3,23,36
E12000001,North East,region,11/09/2022,226,2,15,76
E12000001,North East,region,10/09/2022,140,3,27,104
E12000001,North East,region,09/09/2022,162,5,16,24
E12000001,North East,region,08/09/2022,207,5,35,64
E12000001,North East,region,07/09/2022,188,1,16,42
E12000001,North East,region,06/09/2022,206,0,19,59
E12000001,North East,region,05/09/2022,261,3,14,61
E12000001,North East,region,04/09/2022,196,3,17,57
E12000001,North East,region,03/09/2022,159,4,23,54
E12000001,North East,region,02/09/2022,144,5,26,72
E12000001,North East,region,01/09/2022,175,4,39,63
E12000001,North East,region,31/08/2022,175,5,44,126
E12000001,North East,region,30/08/2022,234,2,46,131
E12000001,North East,region,29/08/2022,214,3,16,33
E12000001,North East,region,28/08/2022,138,7,34,83
E12000001,North East,region,27/08/2022,135,4,42,124
E12000001,North East,region,26/08/2022,157,5,24,113
E12000001,North East,region,25/08/2022,169,3,49,106
E12000001,North East,region,24/08/2022,218,1,27,60
E12000001,North East,region,23/08/2022,210,6,41,114
E12000001,North East,region,22/08/2022,225,5,30,102
E12000001,North East,region,21/08/2022,200,6,37,116
E12000001,North East,region,20/08/2022,120,4,35,145
E12000001,North East,region,19/08/2022,144,4,38,111
E12000001,North East,region,18/08/2022,190,3,28,89
E12000001,North East,region,17/08/2022,217,7,47,137
E12000001,North East,region,16/08/2022,221,3,37,67
E12000001,North East,region,15/08/2022,275,2,29,102
E12000001,North East,region,14/08/2022,250,5,53,170
E12000001,North East,region,13/08/2022,187,3,45,202
E12000001,North East,region,12/08/2022,245,4,35,93
E12000001,North East,region,11/08/2022,223,7,28,110
E12000001,North East,region,10/08/2022,312,8,38,128
E12000001,North East,region,09/08/2022,340,3,24,126
E12000001,North East,region,08/08/2022,319,8,19,114
E12000001,North East,region,07/08/2022,285,7,49,202
E12000001,North East,region,06/08/2022,237,5,60,303
E12000001,North East,region,05/08/2022,328,7,29,123
E12000001,North East,region,04/08/2022,347,9,40,162
E12000001,North East,region,03/08/2022,351,9,27,114
E12000001,North East,region,02/08/2022,371,9,27,104
E12000001,North East,region,01/08/2022,484,9,32,121
E12000001,North East,region,31/07/2022,390,8,54,281
E12000001,North East,region,30/07/2022,298,2,62,399
E12000001,North East,region,29/07/2022,340,7,36,171
E12000001,North East,region,28/07/2022,388,9,46,287
E12000001,North East,region,27/07/2022,451,7,36,156
E12000001,North East,region,26/07/2022,469,3,26,147
E12000001,North East,region,25/07/2022,544,9,48,207
E12000001,North East,region,24/07/2022,503,12,41,188
E12000001,North East,region,23/07/2022,417,11,85,409
E12000001,North East,region,22/07/2022,512,9,36,203
E12000001,North East,region,21/07/2022,575,12,28,148
E12000001,North East,region,20/07/2022,687,14,31,155
E12000001,North East,region,19/07/2022,677,11,22,130
E12000001,North East,region,18/07/2022,825,5,29,120
E12000001,North East,region,17/07/2022,728,11,57,290
E12000001,North East,region,16/07/2022,626,4,94,391
E12000001,North East,region,15/07/2022,734,8,26,147
E12000001,North East,region,14/07/2022,848,5,74,317
E12000001,North East,region,13/07/2022,973,10,56,178
E12000001,North East,region,12/07/2022,1101,7,34,149
E12000001,North East,region,11/07/2022,1154,9,14,128
E12000001,North East,region,10/07/2022,976,4,47,226
E12000001,North East,region,09/07/2022,813,8,67,492
E12000001,North East,region,08/07/2022,928,4,34,107
E12000001,North East,region,07/07/2022,985,6,53,222
E12000001,North East,region,06/07/2022,1097,8,52,249
E12000001,North East,region,05/07/2022,1153,6,35,173
E12000001,North East,region,04/07/2022,1242,5,20,178
E12000001,North East,region,03/07/2022,1022,4,28,177
E12000001,North East,region,02/07/2022,815,5,91,343
E12000001,North East,region,01/07/2022,866,4,55,188
E12000001,North East,region,30/06/2022,888,5,57,131
E12000001,North East,region,29/06/2022,914,5,48,187
E12000001,North East,region,28/06/2022,1039,7,35,112
E12000001,North East,region,27/06/2022,961,4,30,155
E12000001,North East,region,26/06/2022,907,2,88,346
E12000001,North East,region,25/06/2022,706,5,106,306
E12000001,North East,region,24/06/2022,818,1,48,147
E12000001,North East,region,23/06/2022,786,7,36,153
E12000001,North East,region,22/06/2022,817,3,62,212
E12000001,North East,region,21/06/2022,938,6,36,122
E12000001,North East,region,20/06/2022,895,5,28,157
E12000001,North East,region,19/06/2022,745,2,61,182
E12000001,North East,region,18/06/2022,523,5,134,331
E12000001,North East,region,17/06/2022,622,4,36,137
E12000001,North East,region,16/06/2022,580,5,61,154
E12000001,North East,region,15/06/2022,649,2,61,170
E12000001,North East,region,14/06/2022,678,1,66,150
E12000001,North East,region,13/06/2022,701,3,46,129
E12000001,North East,region,12/06/2022,578,2,78,222
E12000001,North East,region,11/06/2022,415,2,138,324
E12000001,North East,region,10/06/2022,449,5,65,116
E12000001,North East,region,09/06/2022,487,4,48,107
E12000001,North East,region,08/06/2022,539,3,66,223
E12000001,North East,region,07/06/2022,469,5,47,159
E12000001,North East,region,06/06/2022,521,3,39,113
E12000001,North East,region,05/06/2022,420,2,37,136
E12000001,North East,region,04/06/2022,293,4,113,288
E12000001,North East,region,03/06/2022,265,3,18,10
E12000001,North East,region,02/06/2022,231,1,11,40
E12000001,North East,region,01/06/2022,248,5,131,262
E12000001,North East,region,31/05/2022,244,1,103,290
E12000001,North East,region,30/05/2022,286,4,105,281
E12000001,North East,region,29/05/2022,228,5,130,294
E12000001,North East,region,28/05/2022,181,3,153,392
E12000001,North East,region,27/05/2022,222,2,83,203
E12000001,North East,region,26/05/2022,236,5,73,219
E12000001,North East,region,25/05/2022,284,1,61,147
E12000001,North East,region,24/05/2022,273,4,78,153
E12000001,North East,region,23/05/2022,313,2,74,212
E12000001,North East,region,22/05/2022,308,3,103,150
E12000001,North East,region,21/05/2022,205,5,205,290
E12000001,North East,region,20/05/2022,251,7,117,232
E12000001,North East,region,19/05/2022,313,4,95,239
E12000001,North East,region,18/05/2022,329,4,92,237
E12000001,North East,region,17/05/2022,362,4,99,175
E12000001,North East,region,16/05/2022,416,4,71,180
