areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,10/06/2022,336
E12000001,North East,region,09/06/2022,338
E12000001,North East,region,08/06/2022,591
E12000001,North East,region,07/06/2022,393
E12000001,North East,region,06/06/2022,258
E12000001,North East,region,05/06/2022,160
E12000001,North East,region,04/06/2022,431
E12000001,North East,region,03/06/2022,30
E12000001,North East,region,02/06/2022,72
E12000001,North East,region,01/06/2022,492
E12000001,North East,region,31/05/2022,507
E12000001,North East,region,30/05/2022,382
E12000001,North East,region,29/05/2022,472
E12000001,North East,region,28/05/2022,567
E12000001,North East,region,27/05/2022,443
E12000001,North East,region,26/05/2022,469
E12000001,North East,region,25/05/2022,441
E12000001,North East,region,24/05/2022,418
E12000001,North East,region,23/05/2022,409
E12000001,North East,region,22/05/2022,287
E12000001,North East,region,21/05/2022,584
E12000001,North East,region,20/05/2022,589
E12000001,North East,region,19/05/2022,629
E12000001,North East,region,18/05/2022,671
E12000001,North East,region,17/05/2022,541
E12000001,North East,region,16/05/2022,477
E12000001,North East,region,15/05/2022,556
E12000001,North East,region,14/05/2022,509
E12000001,North East,region,13/05/2022,725
E12000001,North East,region,12/05/2022,632
E12000001,North East,region,11/05/2022,848
E12000001,North East,region,10/05/2022,572
E12000001,North East,region,09/05/2022,506
E12000001,North East,region,08/05/2022,580
E12000001,North East,region,07/05/2022,721
E12000001,North East,region,06/05/2022,747
E12000001,North East,region,05/05/2022,762
E12000001,North East,region,04/05/2022,781
E12000001,North East,region,03/05/2022,523
E12000001,North East,region,02/05/2022,171
E12000001,North East,region,01/05/2022,408
E12000001,North East,region,30/04/2022,649
E12000001,North East,region,29/04/2022,814
E12000001,North East,region,28/04/2022,684
E12000001,North East,region,27/04/2022,910
E12000001,North East,region,26/04/2022,614
E12000001,North East,region,25/04/2022,529
E12000001,North East,region,24/04/2022,589
E12000001,North East,region,23/04/2022,631
E12000001,North East,region,22/04/2022,891
E12000001,North East,region,21/04/2022,798
E12000001,North East,region,20/04/2022,898
E12000001,North East,region,19/04/2022,502
E12000001,North East,region,18/04/2022,212
E12000001,North East,region,17/04/2022,81
E12000001,North East,region,16/04/2022,663
E12000001,North East,region,15/04/2022,328
E12000001,North East,region,14/04/2022,643
E12000001,North East,region,13/04/2022,733
E12000001,North East,region,12/04/2022,674
E12000001,North East,region,11/04/2022,542
E12000001,North East,region,10/04/2022,558
E12000001,North East,region,09/04/2022,684
E12000001,North East,region,08/04/2022,805
E12000001,North East,region,07/04/2022,659
E12000001,North East,region,06/04/2022,645
E12000001,North East,region,05/04/2022,497
E12000001,North East,region,04/04/2022,424
E12000001,North East,region,03/04/2022,391
E12000001,North East,region,02/04/2022,653
E12000001,North East,region,01/04/2022,605
E12000001,North East,region,31/03/2022,482
E12000001,North East,region,30/03/2022,720
E12000001,North East,region,29/03/2022,565
E12000001,North East,region,28/03/2022,458
E12000001,North East,region,27/03/2022,410
E12000001,North East,region,26/03/2022,552
E12000001,North East,region,25/03/2022,583
E12000001,North East,region,24/03/2022,658
E12000001,North East,region,23/03/2022,836
E12000001,North East,region,22/03/2022,602
E12000001,North East,region,21/03/2022,540
E12000001,North East,region,20/03/2022,593
E12000001,North East,region,19/03/2022,801
E12000001,North East,region,18/03/2022,708
E12000001,North East,region,17/03/2022,608
E12000001,North East,region,16/03/2022,778
E12000001,North East,region,15/03/2022,628
E12000001,North East,region,14/03/2022,536
E12000001,North East,region,13/03/2022,516
E12000001,North East,region,12/03/2022,616
E12000001,North East,region,11/03/2022,980
E12000001,North East,region,10/03/2022,655
E12000001,North East,region,09/03/2022,777
E12000001,North East,region,08/03/2022,599
E12000001,North East,region,07/03/2022,523
E12000001,North East,region,06/03/2022,550
E12000001,North East,region,05/03/2022,744
E12000001,North East,region,04/03/2022,849
E12000001,North East,region,03/03/2022,585
E12000001,North East,region,02/03/2022,659
E12000001,North East,region,01/03/2022,556
E12000001,North East,region,28/02/2022,542
E12000001,North East,region,27/02/2022,494
E12000001,North East,region,26/02/2022,612
E12000001,North East,region,25/02/2022,976
E12000001,North East,region,24/02/2022,967
E12000001,North East,region,23/02/2022,1041
E12000001,North East,region,22/02/2022,758
E12000001,North East,region,21/02/2022,689
E12000001,North East,region,20/02/2022,596
E12000001,North East,region,19/02/2022,791
E12000001,North East,region,18/02/2022,839
E12000001,North East,region,17/02/2022,1140
E12000001,North East,region,16/02/2022,1282
E12000001,North East,region,15/02/2022,967
E12000001,North East,region,14/02/2022,788
E12000001,North East,region,13/02/2022,725
E12000001,North East,region,12/02/2022,1167
E12000001,North East,region,11/02/2022,1368
E12000001,North East,region,10/02/2022,1149
E12000001,North East,region,09/02/2022,981
E12000001,North East,region,08/02/2022,901
E12000001,North East,region,07/02/2022,978
E12000001,North East,region,06/02/2022,755
E12000001,North East,region,05/02/2022,1094
E12000001,North East,region,04/02/2022,1383
E12000001,North East,region,03/02/2022,1331
E12000001,North East,region,02/02/2022,1363
E12000001,North East,region,01/02/2022,1116
E12000001,North East,region,31/01/2022,1221
